year,population,gdp,primary_energy_consumption,energy_per_gdp,energy_per_capita,coal_co2,oil_co2,gas_co2,co2,fossil_fuel_co2,fossil_fuel_share,oil_share,energy_intensity_proxy
1950,1013318.0,3650941112.0,0.0,0.0,0.0,0.758,1.156,0.0,1.914,1.914,1.0,0.6039707419017764,0.0
1951,1068050.0,3597360717.0,0.0,0.0,0.0,0.864,1.962,0.0,2.826,2.826,1.0,0.6942675159235668,0.0
1952,1126098.0,2639434000.0,0.0,0.0,0.0,0.819,2.622,0.0,3.441,3.441,1.0,0.7619877942458587,0.0
1953,1187531.0,3329889336.0,0.0,0.0,0.0,0.66,2.822,0.0,3.482,3.482,1.0,0.8104537622056289,0.0
1954,1252286.0,3996736243.0,0.0,0.0,0.0,0.525,3.247,0.0,3.771,3.772,1.00026518164943,0.8610448156987537,0.0
1955,1320233.0,3846003000.0,0.0,0.0,0.0,0.508,3.544,0.0,4.053,4.052,0.999753269183321,0.8744140143103873,0.0
1956,1390957.0,4445355520.0,0.0,0.0,0.0,0.477,3.619,0.0,4.096,4.096,1.0,0.883544921875,0.0
1957,1458281.0,4155599816.0,0.0,0.0,0.0,0.128,1.601,0.0,1.729,1.729,1.0,0.9259687680740312,0.0
1958,1515731.0,4374144140.0,0.0,0.0,0.0,0.051,2.246,0.0,2.297,2.297,1.0,0.9777971266869829,0.0
1959,1567757.0,5140940641.0,0.0,0.0,0.0,0.037,1.762,0.0,1.799,1.799,1.0,0.9794330183435243,0.0
1960,1619328.0,5703129684.0,0.0,0.0,0.0,0.011,1.381,0.0,1.392,1.392,1.0,0.9920977011494254,0.0
1961,1670469.0,6167795288.0,0.0,0.0,0.0,0.007,2.085,0.0,2.092,2.092,1.0,0.9966539196940726,0.0
1962,1721183.0,6607004815.0,0.0,0.0,0.0,0.029,2.484,0.0,2.513,2.513,1.0,0.9884600079586152,0.0
1963,1771517.0,7267955000.0,0.0,0.0,0.0,0.022,3.279,0.0,3.301,3.3009999999999997,0.9999999999999999,0.9933353529233565,0.0
1964,1821468.0,6998079907.0,0.0,0.0,0.0,0.022,3.58,0.0,3.602,3.602,1.0,0.9938922820655192,0.0
1965,1870828.0,7530617997.0,47.888,6.359,25597.227,0.011,2.415,0.0,2.426,2.426,1.0,0.9954657873042044,6.359
1966,1919088.0,8350804905.0,54.744,6.556,28525.906,0.015,0.464,0.0,0.479,0.47900000000000004,1.0000000000000002,0.9686847599164928,6.556
1967,1965686.0,9375801484.0,65.756,7.013,33451.945,0.007,2.814,0.0,2.821,2.821,1.0,0.9975186104218362,7.013
1968,2010102.0,10651528000.0,81.735,7.674,40661.883,0.022,5.111,0.0,5.133,5.133,1.0,0.995714007403078,7.674
1969,2052163.0,12114067500.0,80.319,6.63,39138.469,0.007,6.881,0.0,6.888,6.888,1.0,0.9989837398373984,6.63
1970,2091568.0,13795472082.0,87.205,6.321,41693.781,0.011,17.822,0.0,17.833,17.833,1.0,0.9993831660404868,6.321
1971,2128445.0,15462201485.0,75.698,4.896,35564.871,0.015,16.261,0.0,16.275,16.276,1.0000614439324118,0.9991397849462366,4.896
